源数据库字段,常用中文名,源类型,目标类型,敏感级别,涉及流程数,必填占比,目标分布,校验规则摘要,脱敏规则,审计要求
food_inspection,温度/感官验收,子表,jsonb,P1-内部,4,0.0,catering.meal_card_settlement_item.item_value_json[CHILD_ITEM]×12；catering.food_safety_incident_item.item_value_json[CHILD_ITEM]×11；catering.group_meal_order_item.item_value_json[CHILD_ITEM]×11；catering.ingredient_acceptance_item.item_value_json[CHILD_ITEM]×11,,,记录新增与修改
form_code,表单编码,文本,varchar(64),P1-内部,126,1.0,workflow.wf_form_definition.form_code[COMMON_SERVICE]×2164,匹配表单版本,,记录新增与修改
form_name,表单名称,文本,varchar(255),P1-内部,126,1.0,workflow.wf_form_definition.form_name[COMMON_SERVICE]×126,,,记录新增与修改
form_schema_version,表单版本,文本,integer,P1-内部,126,1.0,workflow.wf_form_definition.version_no[COMMON_SERVICE]×126,,,记录新增与修改
form_version,表单版本,文本,integer,P1-内部,126,1.0,workflow.wf_form_definition.version_no[COMMON_SERVICE]×2164,版本发布后不可回写历史数据,,记录新增与修改
four_eyes_enabled,高风险操作双人复核,布尔,jsonb,P1-内部,126,1.0,workflow.wf_rule.rule_expr.four_eyes_enabled[COMMON_SERVICE]×126,,,记录新增与修改
goal_achievement_rate,目标达成率,百分比,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,0-100,,记录新增与修改
gray_scope,灰度范围,组织/人员集合,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
guest_contact,联系人及电话,文本,varchar(200),P2-个人,3,0.0,reception.change_request.guest_contact[TYPED_COLUMN]×12；reception.guide_execution.guest_contact[TYPED_COLUMN]×11；reception.reception_order.guest_contact[TYPED_COLUMN]×11,,手机号脱敏,记录新增与修改
guest_count,人数,整数,bigint,P1-内部,3,1.0,reception.change_request.guest_count[TYPED_COLUMN]×12；reception.guide_execution.guest_count[TYPED_COLUMN]×11；reception.reception_order.guest_count[TYPED_COLUMN]×11,,,记录新增与修改
guest_team_name,客户/团队名称,文本,varchar(200),P1-内部,6,1.0,reception.change_request.guest_team_name[TYPED_COLUMN]×18；reception.guide_execution.guest_team_name[TYPED_COLUMN]×17；reception.reception_order.guest_team_name[TYPED_COLUMN]×17；fleet.vehicle_dispatch.guest_team_name[TYPED_COLUMN]×6；reception.complaint.guest_team_name[TYPED_COLUMN]×6；workflow.wf_orchestration_instance.guest_team_name[TYPED_COLUMN]×6,,,记录新增与修改
guide_host_id,导游/接待负责人,文本,varchar(32),P1-内部,3,0.0,reception.change_request.guide_host_id[TYPED_COLUMN]×12；reception.guide_execution.guide_host_id[TYPED_COLUMN]×11；reception.reception_order.guide_host_id[TYPED_COLUMN]×11,,,记录新增与修改
handler_roles,处理角色,角色集合,jsonb,P1-内部,126,1.0,workflow.wf_node.actor_rule.handler_roles[COMMON_SERVICE]×126,,,记录新增与修改
handover_agent_id,交接代理人,文本,varchar(32),P1-内部,3,0.0,attendance.leave_request.handover_agent_id[TYPED_COLUMN]×12；attendance.shift_change_request.handover_agent_id[TYPED_COLUMN]×12；attendance.overtime_request.handover_agent_id[TYPED_COLUMN]×11,,,记录新增与修改
handover_checklist,交接清单,子表,jsonb,P1-内部,6,0.0,hr.employee_offboarding_item.item_value_json[CHILD_ITEM]×6；hr.employee_onboarding_item.item_value_json[CHILD_ITEM]×6；hr.employee_transfer_item.item_value_json[CHILD_ITEM]×6；hr.promotion_request_item.item_value_json[CHILD_ITEM]×6；iam.login_session_item.item_value_json[CHILD_ITEM]×6；iam.permission_request_item.item_value_json[CHILD_ITEM]×6,,,记录新增与修改
handover_items,交接事项,子表,jsonb,P1-内部,3,0.0,attendance.leave_request_item.item_value_json[CHILD_ITEM]×12；attendance.shift_change_request_item.item_value_json[CHILD_ITEM]×12；attendance.overtime_request_item.item_value_json[CHILD_ITEM]×11,,,记录新增与修改
has_deviation,是否偏离计划,布尔,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
has_exception,是否存在异常,布尔,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
headcount_no,编制编号,文本,varchar(32),P1-内部,6,0.0,hr.employee_offboarding.headcount_no[TYPED_COLUMN]×11；hr.employee_onboarding.headcount_no[TYPED_COLUMN]×11；hr.employee_transfer.headcount_no[TYPED_COLUMN]×11；hr.promotion_request.headcount_no[TYPED_COLUMN]×11；iam.login_session.headcount_no[TYPED_COLUMN]×11；iam.permission_request.headcount_no[TYPED_COLUMN]×11,,,记录新增与修改
highlights,主要亮点,长文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
idempotency_rule,幂等键生成规则,文本,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
identity_id,当前任职身份,文本,jsonb,P1-内部,126,1.0,workflow.wf_instance.context_snapshot.identity_id[COMMON_SERVICE]×2164,属于当前员工有效任职关系,,记录新增与修改
immediate_action,已采取措施,长文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
immediate_risk_control,先行止险措施,长文本,text,P1-内部,6,0.0,collaboration.major_matter.immediate_risk_control[TYPED_COLUMN]×11；reception.complaint.immediate_risk_control[TYPED_COLUMN]×11；security.crowd_alert.immediate_risk_control[TYPED_COLUMN]×11；security.event_security_plan.immediate_risk_control[TYPED_COLUMN]×11；security.patrol_task.immediate_risk_control[TYPED_COLUMN]×11；security.security_incident.immediate_risk_control[TYPED_COLUMN]×11,,,记录新增与修改
impact_effective_date,执行生效日期,日期,date,P1-内部,4,0.0,reward.discipline_case.impact_effective_date[TYPED_COLUMN]×6；reward.point_transaction.impact_effective_date[TYPED_COLUMN]×6；reward.reward_case.impact_effective_date[TYPED_COLUMN]×6；welfare.care_case.impact_effective_date[TYPED_COLUMN]×6,,,记录新增与修改
impact_level,影响级别,枚举,varchar(64),P1-内部,4,1.0,reward.point_transaction.impact_level[TYPED_COLUMN]×12；reward.discipline_case.impact_level[TYPED_COLUMN]×11；reward.reward_case.impact_level[TYPED_COLUMN]×11；welfare.care_case.impact_level[TYPED_COLUMN]×11,,,记录新增与修改
impact_scope,影响范围,多选枚举,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×252,,,记录新增与修改
implementation_window,实施窗口,日期时间区间,tstzrange,P1-内部,11,0.0,devops.release.implementation_window[TYPED_COLUMN]×24；itops.network_change.implementation_window[TYPED_COLUMN]×12；audit.data_export_request.implementation_window[TYPED_COLUMN]×11；audit.data_quality_issue.implementation_window[TYPED_COLUMN]×11；devops.defect.implementation_window[TYPED_COLUMN]×11；devops.requirement.implementation_window[TYPED_COLUMN]×11；iam.account_execution.implementation_window[TYPED_COLUMN]×11；integration.data_import_job.implementation_window[TYPED_COLUMN]×11；itops.recovery_drill.implementation_window[TYPED_COLUMN]×11；itops.service_request.implementation_window[TYPED_COLUMN]×11,,,记录新增与修改
incident_area_id,发生区域,文本,varchar(64),P1-内部,9,1.0,collaboration.major_matter.incident_area_id[TYPED_COLUMN]×11；reception.complaint.incident_area_id[TYPED_COLUMN]×11；security.crowd_alert.incident_area_id[TYPED_COLUMN]×11；security.event_security_plan.incident_area_id[TYPED_COLUMN]×11；security.patrol_task.incident_area_id[TYPED_COLUMN]×11；security.security_incident.incident_area_id[TYPED_COLUMN]×11；cleaning.pollution_incident.incident_area_id[TYPED_COLUMN]×6；fleet.vehicle_incident.incident_area_id[TYPED_COLUMN]×6；workflow.wf_orchestration_instance.incident_area_id[TYPED_COLUMN]×6,,,记录新增与修改
incident_occurred_at,发生时间,日期时间,timestamptz,P1-内部,7,1.0,collaboration.major_matter.incident_occurred_at[TYPED_COLUMN]×11；reception.complaint.incident_occurred_at[TYPED_COLUMN]×11；security.crowd_alert.incident_occurred_at[TYPED_COLUMN]×11；security.event_security_plan.incident_occurred_at[TYPED_COLUMN]×11；security.patrol_task.incident_occurred_at[TYPED_COLUMN]×11；security.security_incident.incident_occurred_at[TYPED_COLUMN]×11；cleaning.pollution_incident.incident_occurred_at[TYPED_COLUMN]×6,,,记录新增与修改
incident_patrol_no,事件/巡检编号,文本,varchar(64),P1-内部,16,1.0,collaboration.major_matter.incident_patrol_no[TYPED_COLUMN]×17；reception.complaint.incident_patrol_no[TYPED_COLUMN]×17；security.crowd_alert.incident_patrol_no[TYPED_COLUMN]×17；security.event_security_plan.incident_patrol_no[TYPED_COLUMN]×17；security.patrol_task.incident_patrol_no[TYPED_COLUMN]×17；security.security_incident.incident_patrol_no[TYPED_COLUMN]×17；asset.asset_disposal.incident_patrol_no[TYPED_COLUMN]×6；brand.infringement_case.incident_patrol_no[TYPED_COLUMN]×6；catering.food_safety_incident.incident_patrol_no[TYPED_COLUMN]×6；cleaning.pollution_incident.incident_patrol_no[TYPED_COLUMN]×6；ecommerce.review_complaint.incident_patrol_no[TYPED_COLUMN]×6；entertainment.equipment_fault.incident_patrol_no[TYPED_COLUMN]×6；fleet.vehicle_incident.incident_patrol_no[TYPED_COLUMN]×6；itops.network_change.incident_patrol_no[TYPED_COLUMN]×6；media.public_opinion_case.incident_patrol_no[TYPED_COLUMN]×6；workflow.wf_orchestration_instance.incident_patrol_no[TYPED_COLUMN]×6,,,记录新增与修改
incident_risk_level,风险等级,枚举,varchar(64),P1-内部,6,1.0,collaboration.major_matter.incident_risk_level[TYPED_COLUMN]×11；reception.complaint.incident_risk_level[TYPED_COLUMN]×11；security.crowd_alert.incident_risk_level[TYPED_COLUMN]×11；security.event_security_plan.incident_risk_level[TYPED_COLUMN]×11；security.patrol_task.incident_risk_level[TYPED_COLUMN]×11；security.security_incident.incident_risk_level[TYPED_COLUMN]×11,,,记录新增与修改
incident_type,事件类型,枚举,varchar(64),P1-内部,15,1.0,collaboration.major_matter.incident_type[TYPED_COLUMN]×17；reception.complaint.incident_type[TYPED_COLUMN]×17；security.crowd_alert.incident_type[TYPED_COLUMN]×17；security.event_security_plan.incident_type[TYPED_COLUMN]×17；security.patrol_task.incident_type[TYPED_COLUMN]×17；security.security_incident.incident_type[TYPED_COLUMN]×17；asset.asset_disposal.incident_type[TYPED_COLUMN]×6；brand.infringement_case.incident_type[TYPED_COLUMN]×6；catering.food_safety_incident.incident_type[TYPED_COLUMN]×6；cleaning.pollution_incident.incident_type[TYPED_COLUMN]×6；ecommerce.review_complaint.incident_type[TYPED_COLUMN]×6；entertainment.equipment_fault.incident_type[TYPED_COLUMN]×6；fleet.vehicle_incident.incident_type[TYPED_COLUMN]×6；media.public_opinion_case.incident_type[TYPED_COLUMN]×6；workflow.wf_orchestration_instance.incident_type[TYPED_COLUMN]×6,,,记录新增与修改
ingredient_batches,食材批次,子表,jsonb,P1-内部,4,0.0,catering.meal_card_settlement_item.item_value_json[CHILD_ITEM]×12；catering.food_safety_incident_item.item_value_json[CHILD_ITEM]×11；catering.group_meal_order_item.item_value_json[CHILD_ITEM]×11；catering.ingredient_acceptance_item.item_value_json[CHILD_ITEM]×11,,,记录新增与修改
initiator_roles,发起角色,角色集合,jsonb,P1-内部,126,1.0,workflow.wf_node.actor_rule.initiator_roles[COMMON_SERVICE]×126,,,记录新增与修改
inspection_issues,巡检问题,子表,jsonb,P1-内部,3,0.0,merchant.merchant_admission_item.item_value_json[CHILD_ITEM]×11；merchant.merchant_exit_item.item_value_json[CHILD_ITEM]×11；merchant.merchant_inspection_item.item_value_json[CHILD_ITEM]×11,,,记录新增与修改
inspection_result,巡检/验收结果,枚举,varchar(64),P1-内部,3,0.0,cleaning.cleaning_task.inspection_result[TYPED_COLUMN]×11；cleaning.event_support.inspection_result[TYPED_COLUMN]×11；cleaning.pollution_incident.inspection_result[TYPED_COLUMN]×11,,,记录新增与修改
integration_endpoints,接口清单,子表,text,P1-内部,126,1.0,integration.endpoint.endpoint_uri[COMMON_SERVICE]×126,,,记录新增与修改
invoice_nos,发票/票据编号,文本集合,jsonb,P1-内部,4,0.0,finance.budget_request_item.item_value_json[CHILD_ITEM]×12；finance.reconciliation_task_item.item_value_json[CHILD_ITEM]×12；finance.expense_claim_item.item_value_json[CHILD_ITEM]×11；finance.loan_request_item.item_value_json[CHILD_ITEM]×11,,,记录新增与修改
invoice_verification,票据验真结果,枚举,varchar(64),P1-内部,4,0.0,finance.budget_request.invoice_verification[TYPED_COLUMN]×12；finance.reconciliation_task.invoice_verification[TYPED_COLUMN]×12；finance.expense_claim.invoice_verification[TYPED_COLUMN]×11；finance.loan_request.invoice_verification[TYPED_COLUMN]×11,,,记录新增与修改
involved_parties,涉及人员/对象,主体集合,varchar(64),P2-个人,6,0.0,workflow.wf_business_relation.relation_type[RELATION_LINK]×66,,按角色脱敏,记录新增与修改
issuer_host_id,签发/主持人,文本,varchar(32),P1-内部,7,0.0,collaboration.meeting.issuer_host_id[TYPED_COLUMN]×18；collaboration.notice.issuer_host_id[TYPED_COLUMN]×12；administration.official_document.issuer_host_id[TYPED_COLUMN]×6；collaboration.executive_directive.issuer_host_id[TYPED_COLUMN]×6,,,记录新增与修改
item_asset_id,物料/资产编号,文本,varchar(64),P1-内部,13,1.0,asset.stocktake.item_asset_id[TYPED_COLUMN]×18；asset.asset_disposal.item_asset_id[TYPED_COLUMN]×17；asset.asset_use_transaction.item_asset_id[TYPED_COLUMN]×17；asset.stock_in.item_asset_id[TYPED_COLUMN]×17；costume.damage_report.item_asset_id[TYPED_COLUMN]×17；costume.inventory_check.item_asset_id[TYPED_COLUMN]×17；archive.archive_package.item_asset_id[TYPED_COLUMN]×6；archive.borrow_request.item_asset_id[TYPED_COLUMN]×6；catering.ingredient_acceptance.item_asset_id[TYPED_COLUMN]×6；content.material_request.item_asset_id[TYPED_COLUMN]×6；costume.session_preparation.item_asset_id[TYPED_COLUMN]×6；ecommerce.product_listing.item_asset_id[TYPED_COLUMN]×6；workflow.wf_orchestration_instance.item_asset_id[TYPED_COLUMN]×6,,,记录新增与修改
item_asset_name,物料/资产名称,文本,varchar(200),P1-内部,13,1.0,asset.stocktake.item_asset_name[TYPED_COLUMN]×18；asset.asset_disposal.item_asset_name[TYPED_COLUMN]×17；asset.asset_use_transaction.item_asset_name[TYPED_COLUMN]×17；asset.stock_in.item_asset_name[TYPED_COLUMN]×17；costume.damage_report.item_asset_name[TYPED_COLUMN]×17；costume.inventory_check.item_asset_name[TYPED_COLUMN]×17；archive.archive_package.item_asset_name[TYPED_COLUMN]×6；archive.borrow_request.item_asset_name[TYPED_COLUMN]×6；catering.ingredient_acceptance.item_asset_name[TYPED_COLUMN]×6；content.material_request.item_asset_name[TYPED_COLUMN]×6；costume.session_preparation.item_asset_name[TYPED_COLUMN]×6；ecommerce.product_listing.item_asset_name[TYPED_COLUMN]×6；workflow.wf_orchestration_instance.item_asset_name[TYPED_COLUMN]×6,,,记录新增与修改
itinerary_version,唯一行程版本,文本,varchar(64),P1-内部,3,1.0,reception.change_request.itinerary_version[TYPED_COLUMN]×12；reception.guide_execution.itinerary_version[TYPED_COLUMN]×11；reception.reception_order.itinerary_version[TYPED_COLUMN]×11,,,记录新增与修改
known_impact,已知影响,长文本,text,P1-内部,22,0.0,devops.release.known_impact[TYPED_COLUMN]×2；administration.large_event.known_impact[TYPED_COLUMN]×1；asset.stocktake.known_impact[TYPED_COLUMN]×1；attendance.leave_request.known_impact[TYPED_COLUMN]×1；attendance.shift_change_request.known_impact[TYPED_COLUMN]×1；catering.meal_card_settlement.known_impact[TYPED_COLUMN]×1；content.change_request.known_impact[TYPED_COLUMN]×1；education.teacher_schedule.known_impact[TYPED_COLUMN]×1；entertainment.show_session.known_impact[TYPED_COLUMN]×1；entertainment.staff_shortage.known_impact[TYPED_COLUMN]×1；entertainment.suspension_decision.known_impact[TYPED_COLUMN]×1；finance.budget_request.known_impact[TYPED_COLUMN]×1；finance.reconciliation_task.known_impact[TYPED_COLUMN]×1；hr.employee_profile_change.known_impact[TYPED_COLUMN]×1；itops.network_change.known_impact[TYPED_COLUMN]×1；media.ad_campaign.known_impact[TYPED_COLUMN]×1；planning.change_request.known_impact[TYPED_COLUMN]×1；procurement.purchase_return.known_impact[TYPED_COLUMN]×1；reception.change_request.known_impact[TYPED_COLUMN]×1；reward.point_transaction.known_impact[TYPED_COLUMN]×1；ticketing.ticket_refund_change.known_impact[TYPED_COLUMN]×1,,,记录新增与修改
kpi_results,关键指标结果,子表,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
layout_schema,布局Schema,JSON,jsonb,P1-内部,126,1.0,workflow.wf_form_definition.layout_schema[COMMON_SERVICE]×126,,,记录新增与修改
lead_center_id,牵头中心,文本,uuid,P1-内部,7,1.0,workflow.wf_orchestration_instance.lead_center_id[TYPED_COLUMN]×119,,,记录新增与修改
lead_opportunity_no,线索/商机编号,文本,varchar(64),P1-内部,6,0.0,crm.channel_partner.lead_opportunity_no[TYPED_COLUMN]×11；crm.opportunity.lead_opportunity_no[TYPED_COLUMN]×11；sales.customer_handover.lead_opportunity_no[TYPED_COLUMN]×11；sales.deal.lead_opportunity_no[TYPED_COLUMN]×11；sales.lead.lead_opportunity_no[TYPED_COLUMN]×11；sales.secondary_sale.lead_opportunity_no[TYPED_COLUMN]×11,,,记录新增与修改
lead_source,线索来源,枚举,varchar(64),P1-内部,6,0.0,crm.channel_partner.lead_source[TYPED_COLUMN]×11；crm.opportunity.lead_source[TYPED_COLUMN]×11；sales.customer_handover.lead_source[TYPED_COLUMN]×11；sales.deal.lead_source[TYPED_COLUMN]×11；sales.lead.lead_source[TYPED_COLUMN]×11；sales.secondary_sale.lead_source[TYPED_COLUMN]×11,,,记录新增与修改
learner_profile,适用年龄/对象,文本,varchar(500),P1-内部,4,0.0,education.teacher_schedule.learner_profile[TYPED_COLUMN]×12；education.course_product.learner_profile[TYPED_COLUMN]×11；education.study_tour_delivery.learner_profile[TYPED_COLUMN]×11；learning.learning_assignment.learner_profile[TYPED_COLUMN]×6,,,记录新增与修改
licenses,资质证照,文件集合,varchar(128),P2-个人,3,1.0,document.attachment_link.field_code[ATTACHMENT_LINK]×33,,证件号码脱敏,记录新增与修改
log_retention_days,日志保留天数,整数,integer,P1-内部,126,1.0,audit.audit_policy.retention_days[COMMON_SERVICE]×126,30-3650,,记录新增与修改
logistics_resource_type,资源类型,枚举,varchar(64),P1-内部,5,1.0,dormitory.stay_record.logistics_resource_type[TYPED_COLUMN]×17；fleet.vehicle_dispatch.logistics_resource_type[TYPED_COLUMN]×17；fleet.vehicle_incident.logistics_resource_type[TYPED_COLUMN]×17；drone.flight_incident.logistics_resource_type[TYPED_COLUMN]×6；maintenance.repair_order.logistics_resource_type[TYPED_COLUMN]×6,,,记录新增与修改
management_instruction,管理指令,长文本,jsonb,P1-内部,126,0.0,workflow.wf_task.candidate_rule.management_instruction[COMMON_SERVICE]×126,,,记录新增与修改
masking_rules,敏感字段脱敏规则,JSON,jsonb,P1-内部,126,0.0,audit.audit_policy.masking_policy[COMMON_SERVICE]×126,,,记录新增与修改
master_change_version,统一变更版本,文本,integer,P1-内部,7,0.0,workflow.wf_orchestration_instance.master_change_version[TYPED_COLUMN]×77,,,记录新增与修改
master_order_no,主单编号,文本,varchar(64),P1-内部,7,1.0,workflow.wf_orchestration_instance.master_order_no[TYPED_COLUMN]×119,,,记录新增与修改
material_completeness,材料完整性,枚举,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
meal_count,人数/份数,整数,bigint,P1-内部,4,0.0,catering.meal_card_settlement.meal_count[TYPED_COLUMN]×12；catering.food_safety_incident.meal_count[TYPED_COLUMN]×11；catering.group_meal_order.meal_count[TYPED_COLUMN]×11；catering.ingredient_acceptance.meal_count[TYPED_COLUMN]×11,,,记录新增与修改
meal_event_date,用餐/事件日期,日期,date,P1-内部,4,1.0,catering.meal_card_settlement.meal_event_date[TYPED_COLUMN]×18；catering.food_safety_incident.meal_event_date[TYPED_COLUMN]×17；catering.group_meal_order.meal_event_date[TYPED_COLUMN]×17；catering.ingredient_acceptance.meal_event_date[TYPED_COLUMN]×17,,,记录新增与修改
meal_standard,餐标,金额,"numeric(18,2)",P1-内部,4,0.0,catering.meal_card_settlement.meal_standard[TYPED_COLUMN]×12；catering.food_safety_incident.meal_standard[TYPED_COLUMN]×11；catering.group_meal_order.meal_standard[TYPED_COLUMN]×11；catering.ingredient_acceptance.meal_standard[TYPED_COLUMN]×11,,,记录新增与修改
meal_transaction_no,结算/交易编号,文本,varchar(64),P1-内部,4,0.0,catering.food_safety_incident.meal_transaction_no[TYPED_COLUMN]×6；catering.group_meal_order.meal_transaction_no[TYPED_COLUMN]×6；catering.ingredient_acceptance.meal_transaction_no[TYPED_COLUMN]×6；catering.meal_card_settlement.meal_transaction_no[TYPED_COLUMN]×6,,,记录新增与修改
meal_type,餐次/餐饮类型,枚举,varchar(64),P1-内部,4,1.0,catering.meal_card_settlement.meal_type[TYPED_COLUMN]×18；catering.food_safety_incident.meal_type[TYPED_COLUMN]×17；catering.group_meal_order.meal_type[TYPED_COLUMN]×17；catering.ingredient_acceptance.meal_type[TYPED_COLUMN]×17,,,记录新增与修改
media_assets,素材文件,文件集合,varchar(128),P1-内部,16,0.0,document.attachment_link.field_code[ATTACHMENT_LINK]×96,,,记录新增与修改
media_metrics,传播/转化指标,子表,jsonb,P1-内部,16,0.0,brand.authorization_item.item_value_json[CHILD_ITEM]×6；brand.infringement_case_item.item_value_json[CHILD_ITEM]×6；brand.material_review_item.item_value_json[CHILD_ITEM]×6；content.change_request_item.item_value_json[CHILD_ITEM]×6；content.material_request_item.item_value_json[CHILD_ITEM]×6；content.shooting_task_item.item_value_json[CHILD_ITEM]×6；ecommerce.ota_order_item.item_value_json[CHILD_ITEM]×6；ecommerce.product_listing_item.item_value_json[CHILD_ITEM]×6；ecommerce.refund_order_item.item_value_json[CHILD_ITEM]×6；ecommerce.review_complaint_item.item_value_json[CHILD_ITEM]×6；media.ad_campaign_item.item_value_json[CHILD_ITEM]×6；media.live_session_item.item_value_json[CHILD_ITEM]×6；media.public_opinion_case_item.item_value_json[CHILD_ITEM]×6；media.short_video_release_item.item_value_json[CHILD_ITEM]×6；planning.change_request_item.item_value_json[CHILD_ITEM]×6；planning.project_item.item_value_json[CHILD_ITEM]×6,,,记录新增与修改
menu_items,菜单/品项,子表,jsonb,P1-内部,4,0.0,catering.meal_card_settlement_item.item_value_json[CHILD_ITEM]×12；catering.food_safety_incident_item.item_value_json[CHILD_ITEM]×11；catering.group_meal_order_item.item_value_json[CHILD_ITEM]×11；catering.ingredient_acceptance_item.item_value_json[CHILD_ITEM]×11,,,记录新增与修改
merchant_category,经营品类,枚举,varchar(64),P1-内部,3,1.0,merchant.merchant_admission.merchant_category[TYPED_COLUMN]×11；merchant.merchant_exit.merchant_category[TYPED_COLUMN]×11；merchant.merchant_inspection.merchant_category[TYPED_COLUMN]×11,,,记录新增与修改
merchant_contract_no,合同编号,文本,varchar(64),P1-内部,3,0.0,merchant.merchant_admission.merchant_contract_no[TYPED_COLUMN]×11；merchant.merchant_exit.merchant_contract_no[TYPED_COLUMN]×11；merchant.merchant_inspection.merchant_contract_no[TYPED_COLUMN]×11,,,记录新增与修改
merchant_id,商户编号,文本,varchar(32),P1-内部,4,1.0,merchant.merchant_admission.merchant_id[TYPED_COLUMN]×17；merchant.merchant_exit.merchant_id[TYPED_COLUMN]×17；merchant.merchant_inspection.merchant_id[TYPED_COLUMN]×17；crm.channel_partner.merchant_id[TYPED_COLUMN]×6,,,记录新增与修改
merchant_location_id,经营位置,文本,varchar(64),P1-内部,3,1.0,merchant.merchant_admission.merchant_location_id[TYPED_COLUMN]×11；merchant.merchant_exit.merchant_location_id[TYPED_COLUMN]×11；merchant.merchant_inspection.merchant_location_id[TYPED_COLUMN]×11,,,记录新增与修改
merchant_name,商户名称,文本,varchar(200),P1-内部,4,1.0,merchant.merchant_admission.merchant_name[TYPED_COLUMN]×17；merchant.merchant_exit.merchant_name[TYPED_COLUMN]×17；merchant.merchant_inspection.merchant_name[TYPED_COLUMN]×17；crm.channel_partner.merchant_name[TYPED_COLUMN]×6,,,记录新增与修改
merchant_rectification_due,整改期限,日期时间,timestamptz,P1-内部,3,0.0,merchant.merchant_admission.merchant_rectification_due[TYPED_COLUMN]×6；merchant.merchant_exit.merchant_rectification_due[TYPED_COLUMN]×6；merchant.merchant_inspection.merchant_rectification_due[TYPED_COLUMN]×6,,,记录新增与修改
next_center_id,下一处理中心,文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
node_sla_config,节点SLA,JSON,jsonb,P1-内部,126,1.0,workflow.wf_sla_policy.remind_rules.node_sla_config[COMMON_SERVICE]×126,,,记录新增与修改
notification_channels,通知渠道,多选枚举,varchar(32),P1-内部,126,1.0,notification.template.channel[COMMON_SERVICE]×126,,,记录新增与修改
notification_suppression,免打扰与降噪规则,JSON,jsonb,P1-内部,126,0.0,notification.template.variables_schema.notification_suppression[COMMON_SERVICE]×126,,,记录新增与修改
notification_templates,通知模板,JSON,text,P1-内部,126,1.0,notification.template.body_template[COMMON_SERVICE]×126,,,记录新增与修改
occurred_at,发生时间,日期时间,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
official_attachments,附件/材料清单,文件集合,varchar(128),P1-内部,7,0.0,document.attachment_link.field_code[ATTACHMENT_LINK]×77,,,记录新增与修改
official_content,正文/议题内容,长文本,text,P1-内部,7,1.0,collaboration.meeting.official_content[TYPED_COLUMN]×33；collaboration.notice.official_content[TYPED_COLUMN]×22；administration.official_document.official_content[TYPED_COLUMN]×11；collaboration.executive_directive.official_content[TYPED_COLUMN]×11,,,记录新增与修改
official_subject,事项标题,文本,varchar(200),P1-内部,7,1.0,collaboration.meeting.official_subject[TYPED_COLUMN]×51；collaboration.notice.official_subject[TYPED_COLUMN]×34；administration.official_document.official_subject[TYPED_COLUMN]×17；collaboration.executive_directive.official_subject[TYPED_COLUMN]×17,,,记录新增与修改
official_type,事项类型,枚举,varchar(64),P1-内部,7,1.0,collaboration.meeting.official_type[TYPED_COLUMN]×51；collaboration.notice.official_type[TYPED_COLUMN]×34；administration.official_document.official_type[TYPED_COLUMN]×17；collaboration.executive_directive.official_type[TYPED_COLUMN]×17,,,记录新增与修改
operator_employee_id,经办人员工编号,文本,jsonb,P2-个人,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×2164,必须为有效在职关系或授权身份,编号按权限,记录新增与修改
operator_name,经办人姓名,文本,jsonb,P2-个人,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×2164,与员工编号一致,外部查看部分脱敏,记录新增与修改
orchestration_graph,调用顺序/依赖,JSON,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
order_amount,订单金额,金额,"numeric(18,2)",P1-内部,3,0.0,ticketing.ticket_refund_change.order_amount[TYPED_COLUMN]×12；ticketing.offline_check_event.order_amount[TYPED_COLUMN]×11；ticketing.ticket_order.order_amount[TYPED_COLUMN]×11,,,记录新增与修改
